country,code,region,income_gp,population,HCW,Dx_consortium
Afghanistan,AFG,South Asia,LIC,38041754,42180.61884,Yes
Albania,ALB,Europe & Central Asia,UMIC,2854191,18323.87201,Yes
Algeria,DZA,Middle East & North Africa,LMIC,43053054,234086.2129,Yes
American Samoa,ASM,East Asia & Pacific,UMIC,55312,64.83913765,Yes
Andorra,AND,Europe & Central Asia,HIC,77142,731.1067593,
Angola,AGO,Sub-Saharan Africa,LMIC,31825295,66809.58402,Yes
Antigua & Barbuda,ATG,Latin America & Caribbean,HIC,97118,670.8309114,Yes
Argentina,ARG,Latin America & Caribbean,UMIC,44938712,386248.5102,Yes
Armenia,ARM,Europe & Central Asia,UMIC,2957731,27916.72029,Yes
Australia,AUS,East Asia & Pacific,HIC,25364307,497546.4803,
Austria,AUT,Europe & Central Asia,HIC,8877067,138979.1418,
Azerbaijan,AZE,Europe & Central Asia,UMIC,10023318,115585.1082,Yes
Bahamas,BHS,Latin America & Caribbean,HIC,389482,2667.153077,Yes
Bahrain,BHR,Middle East & North Africa,HIC,1641172,7515.105063,
Bangladesh,BGD,South Asia,LMIC,163046161,348250.1286,Yes
Barbados,BRB,Latin America & Caribbean,HIC,287025,3043.278235,Yes
Belarus,BLR,Europe & Central Asia,UMIC,9466856,159633.3848,Yes
Belgium,BEL,Europe & Central Asia,HIC,11484055,225191.5396,
Belize,BLZ,Latin America & Caribbean,UMIC,390353,1722.070827,Yes
Benin,BEN,Sub-Saharan Africa,LMIC,11801151,15709.04058,Yes
Bermuda,BMU,North America,HIC,63918,0,
Bhutan,BTN,South Asia,LMIC,763092,2024.884014,Yes
Bolivia,BOL,Latin America & Caribbean,LMIC,11513100,36948.47954,Yes
Bosnia & Herzegovina,BIH,Europe & Central Asia,UMIC,3301000,29837.76251,Yes
Botswana,BWA,Sub-Saharan Africa,UMIC,2303697,9881.96003,Yes
Brazil,BRA,Latin America & Caribbean,UMIC,211049527,3696873.292,Yes
Brunei,BRN,East Asia & Pacific,HIC,433285,5077.998506,
Bulgaria,BGR,Europe & Central Asia,UMIC,6975761,76658.88884,Yes
Burkina Faso,BFA,Sub-Saharan Africa,LIC,20321378,17073.26326,Yes
Burundi,BDI,Sub-Saharan Africa,LIC,11530580,10264.28338,Yes
Cape Verde,CPV,Sub-Saharan Africa,LMIC,549935,1213.266457,Yes
Cambodia,KHM,East Asia & Pacific,LMIC,16486542,30000.35679,Yes
Cameroon,CMR,Sub-Saharan Africa,LMIC,25876380,40356.20959,Yes
Canada,CAN,North America,HIC,37589262,579678.8438,
Central African Republic,CAF,Sub-Saharan Africa,LIC,4745185,3413.075924,Yes
Chad,TCD,Sub-Saharan Africa,LIC,15946876,7578.904741,Yes
Chile,CHL,Latin America & Caribbean,HIC,18952038,87000.41576,
China,CHN,East Asia & Pacific,UMIC,1397715000,7522935.519,
Colombia,COL,Latin America & Caribbean,UMIC,50339443,239858.108,Yes
Comoros,COM,Sub-Saharan Africa,LMIC,850886,1441.425218,Yes
Congo - Kinshasa,COD,Sub-Saharan Africa,LIC,86790567,89980.52337,Yes
Congo - Brazzaville,COG,Sub-Saharan Africa,LMIC,5380508,13166.85032,Yes
Costa Rica,CRI,Latin America & Caribbean,UMIC,5047561,13370.16462,Yes
Côte d’Ivoire,CIV,Sub-Saharan Africa,LMIC,25716544,49357.68764,Yes
Croatia,HRV,Europe & Central Asia,HIC,4067500,55797.52346,
Cuba,CUB,Latin America & Caribbean,UMIC,11333483,218094.5423,Yes
Cyprus,CYP,Europe & Central Asia,HIC,1198575,11766.22994,
Czechia,CZE,Europe & Central Asia,HIC,10669709,164390.8593,
Denmark,DNK,Europe & Central Asia,HIC,5818553,107481.9491,
Djibouti,DJI,Middle East & North Africa,LMIC,973560,1437.542387,Yes
Dominica,DMA,Latin America & Caribbean,UMIC,71808,621.3498476,Yes
Dominican Republic,DOM,Latin America & Caribbean,UMIC,10738958,30516.7196,Yes
Ecuador,ECU,Latin America & Caribbean,UMIC,17373662,91388.4317,Yes
Egypt,EGY,Middle East & North Africa,LMIC,100388073,612140.7613,Yes
El Salvador,SLV,Latin America & Caribbean,LMIC,6453553,40224.14442,Yes
