"","country","peak","inc_dec","constant","mean_dailytestspc_con","mean_dailytestspc_inc_dec","mean_dailytestspc_peak"
"1","Afghanistan",42,28,299,3.27356773578595,7.38102577667857,9.99916818435714
"2","Albania",105,75,189,70.5439182849735,73.1466296056,106.481021870952
"3","Algeria",48,116,205,3.30998828503704,2.85695851419512,NA
"4","Andorra",76,185,108,320.579420584615,663.027963022522,18457.4484339588
"5","Angola",94,177,98,2.90080189553061,7.5187346949661,7.3068462395
"6","Antigua & Barbuda",37,24,308,36.167800455873,76.6156462625,101.765030338919
"7","Argentina",91,214,64,73.9158678325,90.775815080514,194.137038287912
"8","Armenia",49,97,223,98.97041085287,122.882909840619,126.973489365306
"9","Australia",16,33,320,197.947855390812,477.831491387879,260.03676470625
"10","Austria",35,142,192,2230.50304429161,2091.30352847303,315.565178771429
"11","Azerbaijan",48,65,256,74.0464573674609,105.866152778,148.821999210417
"12","Bahamas",39,168,162,70.6311060841358,80.0769417182143,124.055588173846
"13","Bahrain",30,123,216,633.603440395833,860.195083713821,1036.71758723333
"14","Bangladesh",35,50,284,8.74481812458451,15.8021725812,22.3034759025714
"15","Barbados",13,52,304,170.032512557124,311.484856609615,318.600911276923
"16","Belarus",210,94,65,101.554417644923,179.523218723404,192.717042366667
"17","Belgium",20,51,298,450.524752301678,421.627332554902,511.74503882
"18","Belize",13,28,328,111.934673364799,64.5369705671429,315.500579815385
"19","Benin",16,60,293,15.4727211983836,16.8953570719655,30.56019549625
"20","Bermuda",0,0,369,1608.5496983878,NA,NA
"21","Bhutan",63,63,243,285.446835844829,417.242371906667,522.499436813044
"22","Bolivia",90,184,95,10.1383760094737,48.6800643631522,74.9117145953333
"23","Bosnia & Herzegovina",101,77,191,40.7020589750785,57.3225616194805,81.1271617861386
"24","Botswana",22,49,298,149.326718942919,216.755171459184,270.170454545455
"25","Brazil",250,118,1,16.33005424,17.6097076661481,31.7133272401458
"26","Brunei",7,25,337,70.3175821105935,73.2631578904,83.16443282
"27","Bulgaria",96,75,198,121.986415683586,124.395701402933,159.403185563958
"28","Burkina Faso",52,28,289,1.9868342270173,3.99686306125,4.98502239273077
"29","Burundi",11,74,284,7.76874686855634,13.4178245181486,16.2231175590909
"30","Côte d’Ivoire",39,65,265,5.7509617076717,10.2069323500462,11.3498817003333
"31","Cambodia",93,25,251,13.8656093965817,44.4490699208,57.9290061451613
"32","Cameroon",7,28,334,15.7592104271015,25.0456081635714,72.8234547042857
"33","Canada",137,113,119,148.378233907826,323.723646749115,274.57594339562
"34","Cape Verde",48,151,170,111.722386795918,82.7111820482119,235.281774575
"35","Central African Republic",20,34,315,1.11196555915873,4.71075386676471,6.75258799175
"36","Chad",31,83,255,1.96412669535686,2.70361856527711,3.31260825677419
"37","Chile",147,165,57,200.854983242105,191.177912204242,318.900041706803
"38","China",51,65,253,NA,NA,NA
"39","Colombia",105,218,46,204.555079048261,69.6338491621801,155.292206303714
"40","Comoros",20,29,320,4.29847059957851,NA,NA
"41","Congo - Brazzaville",33,120,216,6.72445733153241,10.95566026285,9.01841905790909
"42","Congo - Kinshasa",80,102,187,0.369192401219251,0.508066470598039,1.3923889862875
"43","Costa Rica",96,209,64,75.9312426382812,62.1538990431579,160.816033571354
"44","Croatia",79,75,215,111.45489052093,164.5320341096,217.477913632911
"45","Cuba",26,15,328,124.049271438415,316.06191696,409.356612782353
"46","Cyprus",66,111,192,1529.5696976375,2252.84713049369,3761.22241465
"47","Czechia",133,68,168,990.038196611369,687.954743955882,676.524699557143
"48","Denmark",34,154,181,2856.52920012983,4683.42149052532,1691.04139579412
"49","Djibouti",22,25,322,33.4429300679503,48.842105264,77.4981597363636
"50","Dominica",35,118,216,74.2926954720833,81.3152896452991,77.7380952311429
"51","Dominican Republic",117,234,18,27.9742538605882,36.3722565737607,48.4277695839316
"52","Ecuador",145,221,3,27.2742730833333,19.8824191104072,25.8498926021379
"53","Egypt",110,117,142,5.68874579995775,10.1826280595812,7.62466753262727
"54","El Salvador",107,251,11,38.3301096063636,38.4796306601195,122.470972711589
"55","Equatorial Guinea",5,9,355,25.621956973569,36.06557377,80.89807554
"56","Eritrea",41,77,251,2.90606178939161,2.9469825155,NA
"57","Estonia",43,128,198,230.284868753854,367.226356446875,492.355549309302
"58","Eswatini",10,64,295,46.661607577581,103.754398312449,NA
"59","Ethiopia",76,179,114,4.28080613489474,5.88330395969832,9.78560336509211
"60","Faroe Islands",0,0,369,1814.62204993799,NA,NA
"61","Fiji",27,12,330,59.2316017312273,322.237723216667,386.60714285
"62","Finland",102,170,97,217.528750060515,271.108952514118,328.932980885294
"63","France",33,164,172,364.932598970116,474.915291414024,480.6446671
"64","French Polynesia",0,0,369,32.704626337,NA,NA
"65","Gabon",69,68,232,100.249597234483,112.035568942647,146.702345144928
"66","Gambia",36,50,283,8.61375036355477,10.69342159696,12.8338619965833
"67","Georgia",58,107,204,193.182454950267,229.831753218182,213.650304278723
"68","Germany",145,79,145,166.733797959623,214.501938089873,220.619161914138
"69","Ghana",52,60,257,7.81836571372763,11.15051652625,13.8979178070769
"70","Greece",157,100,112,149.269986705804,338.0392401392,439.233481075796
"71","Greenland",0,0,369,125.8732885627,NA,NA
"72","Grenada",10,14,345,51.7392089559592,56.63716814,56.63716814
"73","Guatemala",56,211,102,18.8263639908824,24.264365882,43.7879748344643
"74","Guinea",60,151,158,7.66577960448101,10.1409774577748,11.4233863805
"75","Guinea-Bissau",30,67,272,9.37425275001838,11.0635845165672,14.146341464
"76","Guyana",122,197,50,46.4294790352,46.9642268865608,124.58055649
"77","Haiti",32,74,262,NA,NA,NA
"78","Honduras",140,220,9,9.21307981388889,17.6993713011318,29.0851662227143
"79","Hong Kong SAR China",0,0,369,781.058378374775,NA,NA
"80","Hungary",67,75,227,104.373637598634,219.726017946667,329.5432774
"81","Iceland",35,31,303,269.365420077835,512.714704642857,572.593974940909
"82","India",42,62,265,78.6406544737736,106.273685649355,126.709772485714
"83","Indonesia",32,44,293,20.1849312678567,25.2883077593182,75.4956946196875
"84","Iran",61,180,128,41.4694621128906,89.8262619776667,111.389746963279
"85","Iraq",64,218,87,85.3500356214943,71.933461474218,107.754447525
"86","Ireland",13,17,339,268.795848441815,417.42608343125,501.916066923077
"87","Israel",70,80,219,444.118226479421,581.124845959722,689.880182177143
"88","Italy",81,130,158,231.558623071013,363.075765326154,412.830097141975
"89","Jamaica",31,72,266,33.726781492625,48.7995219915385,77.1883953764516
"90","Japan",30,120,219,27.2817294840639,47.6240946911667,62.985625729
"91","Jordan",70,80,219,160.785075312778,218.851318255,333.113230005714
"92","Kazakhstan",7,15,347,161.688207485809,NA,NA
"93","Kenya",102,155,112,6.99613705744643,9.36543921940645,11.8664627517157
"94","Kiribati",0,0,368,NA,NA,NA
"95","Kosovo",46,120,203,72.6340388004233,131.35416666525,159.864734296739
"96","Kuwait",168,160,41,NA,895.093524777778,241.87892318869
"97","Kyrgyzstan",45,116,208,118.443955445865,167.245079169707,343.9301042
"98","Laos",15,24,330,9.62870874777576,34.9104361391667,NA
"99","Latvia",156,69,144,235.069444443264,479.450412650725,556.506784128846
"100","Lebanon",97,130,142,161.917800851927,191.692307692683,247.232053173196
"101","Lesotho",7,42,320,14.9667366945562,25.0344582270238,23.99626517
"102","Liberia",15,21,333,6.22465915748589,8.11256095938095,10.233293791
"103","Libya",25,185,159,37.4606060106038,52.6416942339459,94.6220346392
"104","Liechtenstein",53,59,256,NA,NA,NA
"105","Lithuania",56,115,198,297.28976020202,491.485480628696,364.237824080357
"106","Luxembourg",58,131,180,1076.91903484211,1320.90387663622,1656.35948006897
"107","Madagascar",22,58,289,1.52852314897509,3.00383916598276,4.7288091635
"108","Malawi",42,38,289,2.63919964833218,9.24643024292105,12.324073383
"109","Malaysia",24,88,257,92.7453293655837,219.033458646154,NA
"110","Maldives",23,23,323,1081.9123048943,790.621232826087,906.075705243478
"111","Mali",14,89,266,3.70133026012782,6.01057847596629,6.669159195
"112","Malta",67,132,170,461.035400588824,662.93363499697,809.20172891194
"113","Mauritania",39,41,289,17.1115079807578,34.9079464985366,35.1315136484615
"114","Mauritius",10,12,347,46.6510057930952,NA,NA
"115","Mexico",100,199,70,11.50186531,13.7245954592261,23.0918383964
"116","Moldova",113,154,102,102.867646286596,75.8296785050769,262.2125268596
"117","Monaco",75,92,201,NA,NA,NA
"118","Mongolia",36,74,258,NA,NA,NA
"119","Montenegro",159,85,125,182.903879592045,195.0636943,195.0636943
"120","Morocco",37,103,229,33.3878529246288,55.5887909861165,64.8877101754054
"121","Mozambique",32,66,271,4.38457374492251,8.57356156351515,13.9522676375
"122","Myanmar (Burma)",29,62,278,11.1236296754856,29.0066460748387,25.9007281875862
"123","Namibia",36,51,282,51.038570284078,78.2469461611765,136.428134166667
"124","Nepal",36,90,243,22.1409684997531,39.6211765872556,62.5752670341667
"125","Netherlands",142,139,88,103.287058647375,286.7632798312,283.959002021094
"126","New Caledonia",0,0,369,26.9091427755908,NA,NA
"127","New Zealand",53,199,117,91.7332241465812,114.114954698141,162.626483961698
"128","Nicaragua",67,120,181,NA,NA,NA
"129","Niger",46,28,295,1.22123240723051,1.507238166,1.97885627778261
"130","Nigeria",53,75,241,2.52974955182988,3.06521134501333,4.8226246679434
"131","North Macedonia",107,102,160,104.435970904013,97.5742001077451,142.785163392056
"132","Norway",89,163,117,238.897481624786,308.396567316564,410.165834492135
"133","Oman",70,108,191,13.3049445158462,13.4851805753763,13.33463873
"134","Pakistan",94,160,115,13.6435984058957,18.0512139416875,21.1260167189362
"135","Palau",0,0,368,NA,NA,NA
"136","Palestinian Territories",100,110,159,57.394961401761,89.3564541702727,166.0411683918
"137","Panama",51,134,184,168.688850815217,212.890818202463,274.869697592157
"138","Papua New Guinea",46,43,280,2.30600962712088,9.29894650897674,9.19108178082609
"139","Paraguay",116,195,58,38.776546115,47.614446398,91.3845071727586
"140","Peru",174,125,70,69.0850678505714,98.56935581392,134.092946853793
"141","Philippines",118,121,130,30.1406686868462,36.0108802124793,48.6026975783898
"142","Poland",73,103,193,95.1489573999171,122.001333418738,173.740630531507
"143","Portugal",30,108,231,328.454511066234,407.497757142593,525.951750506667
"144","Qatar",55,223,91,165.493513778022,172.018155130448,200.821053292727
"145","Romania",92,119,158,119.151771084051,119.16117523,173.372446745652
"146","Russia",168,152,49,196.473580581633,216.311699661842,312.981173972024
"147","Rwanda",42,15,312,29.8479543797756,47.64618077,97.9723668333333
"148","São Tomé & Príncipe",31,49,289,14.9199728237509,18.8426055326327,20.2238915868387
"149","Samoa",0,0,368,NA,NA,NA
"150","San Marino",142,38,189,351.6941176508,730.572755413158,818.434134219718
"151","Saudi Arabia",148,121,100,129.1786350331,146.539199817355,220.098391602027
"152","Senegal",22,64,283,7.61076379474558,11.8791619387344,17.8188659168182
"153","Serbia",77,106,186,93.5777394605376,133.019515787359,191.177541694805
"154","Seychelles",12,60,297,126.783954960255,NA,NA
"155","Sierra Leone",26,51,292,5.91357687604452,7.53465232219608,9.040414269
"156","Singapore",10,29,330,684.049676248182,819.0114943,347.72991452
"157","Slovakia",127,68,174,1095.98216915236,7697.27752631324,205.359955007087
"158","Slovenia",116,101,152,719.344763461513,1407.30882605743,298.650296056034
"159","Somalia",54,41,274,2.57587121181022,3.1003064702439,1.78298855074074
"160","South Africa",81,58,230,40.0690708278261,64.0057826893104,91.0588175032099
"161","South Korea",51,205,113,22.5322207330088,65.0716712283415,80.2630034033333
"162","South Sudan",34,16,319,4.99468252552064,6.5375424331875,6.93570084814706
"163","Spain",73,159,137,214.48054659708,243.690991915472,408.458197278493
"164","Sri Lanka",76,77,216,31.4157547077454,59.1893097485172,1.970765423
"165","St. Kitts & Nevis",11,16,342,104.021847068421,300.58962265,357.118353318182
"166","St. Lucia",29,16,324,79.202221318567,89.062499998125,136.919040476207
"167","St. Vincent & Grenadines",25,26,318,126.540973971168,211.399861388462,220.756756736
"168","Sudan",63,79,227,1.85840533841667,1.08366716501266,2.10893300109524
"169","Suriname",56,121,191,NA,NA,NA
"170","Sweden",152,62,155,127.382021436667,361.5389992,385.82004145102
"171","Switzerland",46,101,222,229.180605376651,299.287426142574,330.306181397826
"172","Syria",110,211,47,NA,NA,NA
"173","Taiwan",20,17,332,32.2637824256145,165.319383827059,122.3395053945
"174","Tajikistan",40,154,175,NA,NA,NA
"175","Tanzania",7,0,362,NA,NA,NA
"176","Thailand",20,32,317,24.8906350001546,69.69340974,NA
"177","Timor-Leste",35,72,261,NA,NA,NA
"178","Togo",36,87,246,10.7397303596057,13.2776044639885,17.02902927
"179","Trinidad & Tobago",47,67,255,31.8098361574549,59.6676197277778,125.431539246383
"180","Tunisia",24,106,239,32.462055813749,65.6402307117925,154.0157796625
"181","Turkey",7,48,314,188.14251145793,305.292875583333,234.677229471429
"182","Uganda",32,67,270,5.75697141801111,9.02485669647761,15.2745895367812
"183","Ukraine",110,136,123,44.800161061626,58.7324709008088,93.319863474
"184","United Arab Emirates",146,182,41,688.987891185366,1623.24431386319,2073.04050027397
"185","United Kingdom",56,123,190,1018.72351014263,723.195689856098,1017.54414440357
"186","United States",87,143,139,245.411831664748,384.367925260839,543.36039111954
"187","Uruguay",89,42,238,134.606899753445,307.475943754762,454.731456146067
"188","Uzbekistan",88,158,123,NA,NA,NA
"189","Vanuatu",0,0,368,NA,NA,NA
"190","Vatican City",10,0,358,NA,NA,NA
"191","Venezuela",202,161,6,11.534674356,23.2771816680124,15.0145457600507
"192","Vietnam",17,7,345,9.04867571987633,NA,NA
"193","Western Sahara",0,0,369,0.942835224054201,NA,NA
"194","Yemen",36,26,306,NA,NA,NA
"195","Zambia",39,78,252,22.2927416178571,42.4162036101282,52.8335676510256
"196","Zimbabwe",32,33,304,10.5460575005789,46.0276586766667,65.830838323125
