"","country","peak","inc_dec","constant","code","region","income_gp","population","HCW","Dx_consortium"
"1","Afghanistan",42,28,299,"AFG","South Asia","LIC",38041754,42180.61884,"Yes"
"2","Albania",105,75,189,"ALB","Europe & Central Asia","UMIC",2854191,18323.87201,"Yes"
"3","Algeria",48,116,205,"DZA","Middle East & North Africa","LMIC",43053054,234086.2129,"Yes"
"4","Andorra",76,185,108,"AND","Europe & Central Asia","HIC",77142,731.1067593,""
"5","Angola",94,177,98,"AGO","Sub-Saharan Africa","LMIC",31825295,66809.58402,"Yes"
"6","Antigua & Barbuda",37,24,308,"ATG","Latin America & Caribbean","HIC",97118,670.8309114,"Yes"
"7","Argentina",91,214,64,"ARG","Latin America & Caribbean","UMIC",44938712,386248.5102,"Yes"
"8","Armenia",49,97,223,"ARM","Europe & Central Asia","UMIC",2957731,27916.72029,"Yes"
"9","Australia",16,33,320,"AUS","East Asia & Pacific","HIC",25364307,497546.4803,""
"10","Austria",35,142,192,"AUT","Europe & Central Asia","HIC",8877067,138979.1418,""
"11","Azerbaijan",48,65,256,"AZE","Europe & Central Asia","UMIC",10023318,115585.1082,"Yes"
"12","Bahamas",39,168,162,"BHS","Latin America & Caribbean","HIC",389482,2667.153077,"Yes"
"13","Bahrain",30,123,216,"BHR","Middle East & North Africa","HIC",1641172,7515.105063,""
"14","Bangladesh",35,50,284,"BGD","South Asia","LMIC",163046161,348250.1286,"Yes"
"15","Barbados",13,52,304,"BRB","Latin America & Caribbean","HIC",287025,3043.278235,"Yes"
"16","Belarus",210,94,65,"BLR","Europe & Central Asia","UMIC",9466856,159633.3848,"Yes"
"17","Belgium",20,51,298,"BEL","Europe & Central Asia","HIC",11484055,225191.5396,""
"18","Belize",13,28,328,"BLZ","Latin America & Caribbean","UMIC",390353,1722.070827,"Yes"
"19","Benin",16,60,293,"BEN","Sub-Saharan Africa","LMIC",11801151,15709.04058,"Yes"
"20","Bermuda",0,0,369,"BMU","North America","HIC",63918,0,""
"21","Bhutan",63,63,243,"BTN","South Asia","LMIC",763092,2024.884014,"Yes"
"22","Bolivia",90,184,95,"BOL","Latin America & Caribbean","LMIC",11513100,36948.47954,"Yes"
"23","Bosnia & Herzegovina",101,77,191,"BIH","Europe & Central Asia","UMIC",3301000,29837.76251,"Yes"
"24","Botswana",22,49,298,"BWA","Sub-Saharan Africa","UMIC",2303697,9881.96003,"Yes"
"25","Brazil",250,118,1,"BRA","Latin America & Caribbean","UMIC",211049527,3696873.292,"Yes"
"26","Brunei",7,25,337,"BRN","East Asia & Pacific","HIC",433285,5077.998506,""
"27","Bulgaria",96,75,198,"BGR","Europe & Central Asia","UMIC",6975761,76658.88884,"Yes"
"28","Burkina Faso",52,28,289,"BFA","Sub-Saharan Africa","LIC",20321378,17073.26326,"Yes"
"29","Burundi",11,74,284,"BDI","Sub-Saharan Africa","LIC",11530580,10264.28338,"Yes"
"30","Côte d’Ivoire",39,65,265,"CIV","Sub-Saharan Africa","LMIC",25716544,49357.68764,"Yes"
"31","Cambodia",93,25,251,"KHM","East Asia & Pacific","LMIC",16486542,30000.35679,"Yes"
"32","Cameroon",7,28,334,"CMR","Sub-Saharan Africa","LMIC",25876380,40356.20959,"Yes"
"33","Canada",137,113,119,"CAN","North America","HIC",37589262,579678.8438,""
"34","Cape Verde",48,151,170,"CPV","Sub-Saharan Africa","LMIC",549935,1213.266457,"Yes"
"35","Central African Republic",20,34,315,"CAF","Sub-Saharan Africa","LIC",4745185,3413.075924,"Yes"
"36","Chad",31,83,255,"TCD","Sub-Saharan Africa","LIC",15946876,7578.904741,"Yes"
"37","Chile",147,165,57,"CHL","Latin America & Caribbean","HIC",18952038,87000.41576,""
"38","China",51,65,253,"CHN","East Asia & Pacific","UMIC",1397715000,7522935.519,""
"39","Colombia",105,218,46,"COL","Latin America & Caribbean","UMIC",50339443,239858.108,"Yes"
"40","Comoros",20,29,320,"COM","Sub-Saharan Africa","LMIC",850886,1441.425218,"Yes"
"41","Congo - Brazzaville",33,120,216,"COG","Sub-Saharan Africa","LMIC",5380508,13166.85032,"Yes"
"42","Congo - Kinshasa",80,102,187,"COD","Sub-Saharan Africa","LIC",86790567,89980.52337,"Yes"
"43","Costa Rica",96,209,64,"CRI","Latin America & Caribbean","UMIC",5047561,13370.16462,"Yes"
"44","Croatia",79,75,215,"HRV","Europe & Central Asia","HIC",4067500,55797.52346,""
"45","Cuba",26,15,328,"CUB","Latin America & Caribbean","UMIC",11333483,218094.5423,"Yes"
"46","Cyprus",66,111,192,"CYP","Europe & Central Asia","HIC",1198575,11766.22994,""
"47","Czechia",133,68,168,"CZE","Europe & Central Asia","HIC",10669709,164390.8593,""
"48","Denmark",34,154,181,"DNK","Europe & Central Asia","HIC",5818553,107481.9491,""
"49","Djibouti",22,25,322,"DJI","Middle East & North Africa","LMIC",973560,1437.542387,"Yes"
"50","Dominica",35,118,216,"DMA","Latin America & Caribbean","UMIC",71808,621.3498476,"Yes"
"51","Dominican Republic",117,234,18,"DOM","Latin America & Caribbean","UMIC",10738958,30516.7196,"Yes"
"52","Ecuador",145,221,3,"ECU","Latin America & Caribbean","UMIC",17373662,91388.4317,"Yes"
"53","Egypt",110,117,142,"EGY","Middle East & North Africa","LMIC",100388073,612140.7613,"Yes"
"54","El Salvador",107,251,11,"SLV","Latin America & Caribbean","LMIC",6453553,40224.14442,"Yes"
"55","Equatorial Guinea",5,9,355,"GNQ","Sub-Saharan Africa","UMIC",1355986,2209.556893,"Yes"
"56","Eritrea",41,77,251,"ERI","Sub-Saharan Africa","LIC",3213972,299,"Yes"
"57","Estonia",43,128,198,"EST","Europe & Central Asia","HIC",1326590,17545.90792,""
"58","Eswatini",10,64,295,"SWZ","Sub-Saharan Africa","LMIC",1148130,6982.612358,"Yes"
"59","Ethiopia",76,179,114,"ETH","Sub-Saharan Africa","LIC",112078730,163337.0823,"Yes"
"60","Faroe Islands",0,0,369,"FRO","Europe & Central Asia","HIC",48678,19.69854271,""
"61","Fiji",27,12,330,"FJI","East Asia & Pacific","UMIC",889953,4227.550836,"Yes"
"62","Finland",102,170,97,"FIN","Europe & Central Asia","HIC",5520314,129493.8724,""
"63","France",33,164,172,"FRA","Europe & Central Asia","HIC",67059887,1156683.441,""
"64","French Polynesia",0,0,369,"PYF","East Asia & Pacific","HIC",279287,591.3586798,""
"65","Gabon",69,68,232,"GAB","Sub-Saharan Africa","UMIC",2172579,8027.257394,"Yes"
"66","Gambia",36,50,283,"GMB","Sub-Saharan Africa","LIC",2347706,7112.109497,"Yes"
"67","Georgia",58,107,204,"GEO","Europe & Central Asia","UMIC",3720382,38700.77779,"Yes"
"68","Germany",145,79,145,"DEU","Europe & Central Asia","HIC",83132799,1802683.552,""
"69","Ghana",52,60,257,"GHA","Sub-Saharan Africa","LMIC",30417856,63150.71007,"Yes"
"70","Greece",157,100,112,"GRC","Europe & Central Asia","HIC",10716322,127012.8101,""
"71","Greenland",0,0,369,"GRL","Europe & Central Asia","HIC",56225,0,""
"72","Grenada",10,14,345,"GRD","Latin America & Caribbean","UMIC",112003,740.3237383,"Yes"
"73","Guatemala",56,211,102,"GTM","Latin America & Caribbean","UMIC",16604026,31388.07253,"Yes"
"74","Guinea",60,151,158,"GIN","Sub-Saharan Africa","LIC",12771246,13550.38019,"Yes"
"75","Guinea-Bissau",30,67,272,"GNB","Sub-Saharan Africa","LIC",1920922,6652.227092,"Yes"
"76","Guyana",122,197,50,"GUY","Latin America & Caribbean","UMIC",782766,2151.990756,"Yes"
"77","Haiti",32,74,262,"HTI","Latin America & Caribbean","LIC",11263077,18106.241,"Yes"
"78","Honduras",140,220,9,"HND","Latin America & Caribbean","LMIC",9746117,21594.52119,"Yes"
"79","Hong Kong SAR China",0,0,369,"HKG","East Asia & Pacific","HIC",7507400,13099.02227,""
"80","Hungary",67,75,227,"HUN","Europe & Central Asia","HIC",9769949,120410.6254,""
"81","Iceland",35,31,303,"ISL","Europe & Central Asia","HIC",361313,8690.746078,""
"82","India",42,62,265,"IND","South Asia","LMIC",1366417754,6562671.873,"Yes"
"83","Indonesia",32,44,293,"IDN","East Asia & Pacific","UMIC",270625568,816205.2667,"Yes"
"84","Iran",61,180,128,"IRN","Middle East & North Africa","UMIC",82913906,397331.0304,"Yes"
"85","Iraq",64,218,87,"IRQ","Middle East & North Africa","UMIC",39309783,127673.5648,"Yes"
"86","Ireland",13,17,339,"IRL","Europe & Central Asia","HIC",4941444,103962.7984,""
"87","Israel",70,80,219,"ISR","Middle East & North Africa","HIC",9053300,109884.8004,""
"88","Italy",81,130,158,"ITA","Europe & Central Asia","HIC",60297396,803107.5301,""
"89","Jamaica",31,72,266,"JAM","Latin America & Caribbean","UMIC",2948279,9358.672269,"Yes"
